Title,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Duration,Level
machine learning specialization,data science,machine learning,specialization,english,subtitle english,decision tree artificial neural network logistic regression recommender system linear regression regularization avoid overfitting gradient descent supervised learning logistic regression classification xgboost tensorflow tree ensemble,andrew ng eddy shyu aarti bagul geoff ladwig,approximately 3 month complete,
introduction data science specialization,data science,data analysis,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian turkish spanish persian,data science relational database management system rdbms cloud database python programming sql deep learning machine learning big data data mining github jupyter notebook rstudio,rav ahuja alex aklson aije egwaikhide svetlana levitan romeo kienzler polong lin hima vasudevan,approximately 5 month complete,
data science fundamental python sql specialization,data science,data analysis,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish persian korean,data science github python programming jupyter notebook rstudio data analysis panda numpy probability statistic regression analysis data visualization dataviz statistical hypothesis testing,aije egwaikhide svetlana levitan romeo kienzler joseph santarcangelo azim hirjani murtaza haider rav ahuja hima vasudevan,approximately 7 month complete,
key technology business specialization,business,business essential,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish turkish,data science artificial intelligence ai business cloud computing technology cloud native devops iaa paas saas hybrid multicloud deep learning job machine learning,rav ahuja alex aklson,approximately 3 month complete,
deep learning specialization,data science,machine learning,specialization,english,subtitle english chinese traditional arabic french ukrainian portuguese european chinese simplified italian portuguese brazilian vietnamese korean german russian turkish spanish japanese,artificial neural network convolutional neural network tensorflow recurrent neural network transformer deep learning backpropagation python programming neural network architecture mathematical optimization hyperparameter tuning inductive transfer,andrew ng kian katanforoosh younes bensouda mourri,approximately 5 month complete,
ibm darden digital strategy specialization,data science,machine learning,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,data science digital transformation artificial intelligence ai business strategy cloud computing deep learning job machine learning strategy swot analysis value proposition competitiveness,rav ahuja jared harris michael lenox rajkumar venkatesan yael grushka-cockayne,approximately 7 month complete,
ibm ai foundation business specialization,data science,machine learning,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish turkish,data science artificial intelligence ai information technology architecture data architecture leadership deep learning job machine learning big data data mining management analytics,rav ahuja alex aklson mark j grover ray lopez ph.d.,approximately 2 month complete,
data analysis visualization foundation specialization,data science,data analysis,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,data science spreadsheet microsoft excel data analysis data visualization dataviz pivot table ibm cognos analytics dashboard,rav ahuja sandip saha joy steve ryan kevin mcfaul skill network,approximately 4 month complete,
applied data science specialization,data science,machine learning,specialization,english,subtitle english korean arabic french portuguese european italian vietnamese german russian turkish spanish persian,data science python programming data analysis panda numpy jupyter notebook predictive modelling data visualization dataviz model selection dashboard chart dash matplotlib,joseph santarcangelo azim hirjani saishruthi swaminathan yan luo,approximately 6 month complete,
data engineering foundation specialization,information technology,data management,specialization,english,subtitle english korean arabic persian,information engineering python programming extraction transformation loading etl relational database management system rdbms sql data science database dbms nosql data analysis panda numpy jupyter notebook,rav ahuja priya kapoor joseph santarcangelo ramesh sannareddy sandip saha joy lin joyner rose malcolm hima vasudevan,approximately 5 month complete,
fundamental cybersecurity specialization,information technology,security,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,operating system security database vulnerability cybersecurity networking basic cyber attack information security infosec ibm new collar malware network security sql injection,ibm security learning service,approximately 5 month complete,
applied software engineering fundamental specialization,computer science,software development,specialization,english,subtitle english korean arabic,linux software design architecture python programming git github software development lifecycle sdlc basic programming concept career software engineering programming language framework software development lifecycle sdlc software architecture shell script bash unix shell,rav ahuja lin joyner bethany hudnutt sam prokopchuk ramesh sannareddy upkar lidder joseph santarcangelo,approximately 5 month complete,
